Delta,energy_variance,resolved,r_star,error_at_r_star,fidelity_at_r_star,error_at_r_max,fidelity_at_r_max,best_r_in_scan,best_error_in_scan,empirical_rule_resolved,empirical_rule_r,empirical_rule_error,empirical_rule_status,family,family_kind,instance_id,N,t,eps,theta,r_max,r_value_for_plot,censored_for_plot,num_terms,num_identity_terms,num_nonidentity_terms,num_single_site_terms,num_two_site_terms,distinct_qubit_pairs,coeff_rms,coeff_l1,coeff_l2,noncommuting_pairs,worst_case_rule_name,worst_case_rule_r,worst_case_rule_status,worst_case_rule_commutator_sum,worst_case_rule_formula,worst_case_rule_rigorous_for_current_metric,low_energy_rule_name,low_energy_rule_r,low_energy_rule_status,low_energy_rule_missing_inputs,low_energy_rule_rigorous_for_current_metric,resource_model,step_dt,identity_term_count_per_step,single_qubit_clifford_count_per_step,cnot_count_per_step,rotation_gate_count_per_step,t_count_estimate_per_step,sequential_layer_proxy_per_step,resource_has_stim,resource_has_pyliqtr,stim_instruction_count_clifford_skeleton_per_step,stim_num_qubits,stim_h,stim_cx,stim_s_dag,stim_s,stim_num_instructions,resource_r,resource_t,identity_term_count_total,single_qubit_clifford_count_total,cnot_count_total,rotation_gate_count_total,t_count_estimate_total,sequential_layer_proxy_total,stim_instruction_count_clifford_skeleton_total,resource_totals_reported,resource_totals_status
1.6933850915467972,25.482181254467832,True,136,0.0009939193771326682,0.9990060806228673,7.268354298695101e-05,0.999927316457013,136,0.0009939193771326682,True,136,0.0009939193771326682,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.0,500,136,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007352941176470588,0,182,90,45,4550,317,True,True,199,6,94,45,30,30,199,136,1.0,0,24752,12240,6120,618800,43112,27064,True,reported_at_empirical_r_star
1.8095998267492683,25.297166346869048,True,135,0.0009978812830921946,0.9990021187169078,7.194642822339059e-05,0.9999280535717766,135,0.0009978812830921946,True,135,0.0009978812830921946,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.15707963267948966,500,135,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007407407407407408,0,182,90,45,4514,317,True,True,199,6,94,45,30,30,199,135,1.0,0,24570,12150,6075,609390,42795,26865,True,reported_at_empirical_r_star
1.9112329088623696,25.032614849473898,True,136,0.000995374478538813,0.9990046255214612,7.295848033805896e-05,0.9999270415196619,136,0.000995374478538813,True,136,0.000995374478538813,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.3141592653589793,500,136,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007352941176470588,0,182,90,45,4550,317,True,True,199,6,94,45,30,30,199,136,1.0,0,24752,12240,6120,618800,43112,27064,True,reported_at_empirical_r_star
1.9883357836895468,24.66999325894899,True,138,0.0009870751146787704,0.9990129248853212,7.466787351739779e-05,0.9999253321264826,138,0.0009870751146787704,True,138,0.0009870751146787704,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.47123889803846897,500,138,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007246376811594203,0,182,90,45,4546,317,True,True,199,6,94,45,30,30,199,138,1.0,0,25116,12420,6210,627348,43746,27462,True,reported_at_empirical_r_star
2.033361084635403,24.31992298104753,True,139,0.0009921399129404485,0.9990078600870596,7.632883650976474e-05,0.9999236711634902,139,0.0009921399129404485,True,139,0.0009921399129404485,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.6283185307179586,500,139,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007194244604316547,0,182,90,45,4514,317,True,True,199,6,94,45,30,30,199,139,1.0,0,25298,12510,6255,627446,44063,27661,True,reported_at_empirical_r_star
2.0419014215336366,24.18265655751778,True,140,0.0009919103965925213,0.9990080896034075,7.759161301146289e-05,0.9999224083869885,140,0.0009919103965925213,True,140,0.0009919103965925213,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.7853981633974483,500,140,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007142857142857143,0,182,90,45,4548,317,True,True,199,6,94,45,30,30,199,140,1.0,0,25480,12600,6300,636720,44380,27860,True,reported_at_empirical_r_star
2.013120806704623,24.465074838189313,True,140,0.000998969134572203,0.9990010308654278,7.82880259672103e-05,0.9999217119740328,140,0.000998969134572203,True,140,0.000998969134572203,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,0.9424777960769379,500,140,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007142857142857143,0,182,90,45,4548,317,True,True,199,6,94,45,30,30,199,140,1.0,0,25480,12600,6300,636720,44380,27860,True,reported_at_empirical_r_star
1.949836487254159,25.28654691114154,True,140,0.0009985296832254464,0.9990014703167746,7.834906575499012e-05,0.999921650934245,140,0.0009985296832254464,True,140,0.0009985296832254464,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,1.0995574287564276,500,140,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007142857142857143,0,182,90,45,4548,317,True,True,199,6,94,45,30,30,199,140,1.0,0,25480,12600,6300,636720,44380,27860,True,reported_at_empirical_r_star
1.8582431732978397,26.611091013478507,True,140,0.0009921442876981157,0.9990078557123019,7.789096783961114e-05,0.9999221090321604,140,0.0009921442876981157,True,140,0.0009921442876981157,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,1.2566370614359172,500,140,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007142857142857143,0,182,90,45,4548,317,True,True,199,6,94,45,30,30,199,140,1.0,0,25480,12600,6300,636720,44380,27860,True,reported_at_empirical_r_star
1.7473066565738509,28.233926061882627,True,139,0.0009973394952129677,0.999002660504787,7.718248142807305e-05,0.9999228175185719,139,0.0009973394952129677,True,139,0.0009973394952129677,resolved,random two-local,random_baseline,random_1,6,1.0,0.001,1.413716694115407,500,139,False,45,0,45,0,45,14,0.821962489621633,28.671388021935623,5.51389200524681,380,first_order_commutator_proxy,153108,proxy_not_certified_for_fidelity,306.2143252651807,"(t^2 / (2 r)) * sum_{a<b} ||[H_a, H_b]|| <= eps",False,placeholder_requires_theorem_specific_input,,missing_theorem_formula_or_constants,"Need the exact low-energy bound to implement, including constants, normalization/energy-shift conventions, and how its accuracy parameter maps onto the notebook's fidelity-error threshold.",False,basis_change_plus_parity_cnot_plus_synthesized_rz,0.007194244604316547,0,182,90,45,4514,317,True,True,199,6,94,45,30,30,199,139,1.0,0,25298,12510,6255,627446,44063,27661,True,reported_at_empirical_r_star
